ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgwznqU-qu4a1v92LqZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:30.01473+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugw0pOO-CSyLhnOGAQN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:23.144782+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgxvdCT8FIT2cuxffOF4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:17.225212+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugz0BL9JQqCgftk3v9B4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:59:11.941713+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugy1zr7uSnjcnxbJJOh4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:44.012029+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugy-Cu6v-mSr0h5o3XJ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:38.278378+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgyA7ES81sBZlT9kTGp4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:33.756039+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgzjvHQeGo4bvQFhc4J4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:28.752886+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugx7TdNX_XodtaZfsmF4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:23.737635+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgxvhVePILIw2QktxVR4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:18.928255+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgwGl5c6IhbIB1pSHo14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:13.82776+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgwshhkE6DLhA7XvRv14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:58:02.288986+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgwSkL0iQ7vFNxM-TCh4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:57:55.30815+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
Ugxn8-hKtR4mcPD13zJ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:57:44.041445+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
UgznsGXlTDUxO0i7U114AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:57:38.446264+00:00,0,,,piqHtyH8E2g,"{""text"":""Plataforma: PS4""},{""text"":""\n""},{""text"":""Nick: Maestro_Gab""}",
